% Model,mush.mph
% Version,COMSOL 5.5.0.292
% Date,"Oct 14 2022, 07:24"
% Dimension,2
% Nodes,5022
% Expressions,1
% Description,Line
% r,z,Color
0,0.07614484014881615,5.294327612905771E-13
0,0.07686354014454289,5.762161355737233E-13
0,0.07758224014026963,6.261051737099617E-13
0,0.07825433324636116,6.771207117892181E-13
0,0.0789264263524527,7.338070795672338E-13
0,0.07959851945854424,7.961642770440089E-13
0,0.08027061256463577,8.641923042195431E-13
0,0.08094270567072731,9.378911610938368E-13
0,0.08161479877681885,1.0172608476668896E-12
0,0.08228689188291038,1.1023013639387018E-12
0,0.08295898498900192,1.1930127099092735E-12
0,0.08363107809509346,1.2893948855786043E-12
0,0.08430996011139735,1.3944659198454293E-12
0,0.08498884212770125,1.5118302218024784E-12
0,0.08566772414400514,1.6414877914497515E-12
0,0.08634660616030904,1.7834386287872486E-12
0,0.08702548817661293,1.9376827338149696E-12
0,0.08770437019291683,2.1042201065329143E-12
0,0.08838325220922072,2.2830507469410833E-12
0,0.08906213422552461,2.4741746550394763E-12
0,0.08974101624182851,2.6775918308280932E-12
0,0.09044469927694604,2.9022447233787457E-12
0,0.09114838231206357,3.155015097605126E-12
0,0.09185206534718111,3.435902953507233E-12
0,0.09255574838229864,3.744908291085067E-12
0,0.09325943141741617,4.08203111033863E-12
0,0.0939631144525337,4.447271411267919E-12
0,0.09466679748765125,4.840629193872935E-12
0,0.09537048052276878,5.26210445815368E-12
0,0.09607416355788631,5.711697204110151E-12
0,0.09689988235244096,6.272612020268546E-12
0,0.09772560114699562,6.920295081598747E-12
0,0.09855131994155027,7.654746388100755E-12
0,0.09937703873610493,8.47596593977457E-12
0,0.10020275753065958,9.38395373662019E-12
0,0.10102847632521422,1.0378709778637619E-11
0,0.10185419511976887,1.1460234065826852E-11
0,0.10267991391432353,1.2628526598187893E-11
0,0.10350563270887818,1.3883587375720741E-11
0,0.10451197410262873,1.554725882053133E-11
0,0.10551831549637929,1.7562125684165438E-11
0,0.10652465689012984,1.992818796662307E-11
0,0.10753099828388038,2.2645445667904218E-11
0,0.10853733967763093,2.571389878800889E-11
0,0.10954368107138149,2.9133547326937075E-11
0,0.11055002246513204,3.2904391284688786E-11
0,0.1115563638588826,3.7026430661264015E-11
0,0.11256270525263315,4.149966545666277E-11
0,0.11376771194994573,4.7117562349264014E-11
0,0.11497271864725829,5.444459945079462E-11
0,0.11617772534457088,6.348077676125457E-11
0,0.11738273204188343,7.422609428064387E-11
0,0.11858773873919602,8.668055200896252E-11
0,0.11979274543650859,1.008441499462105E-10
0,0.12099775213382116,1.1671688809238785E-10
0,0.12220275883113373,1.3429876644749454E-10
0,0.1234077655284463,1.535897850115306E-10
0,0.12456963012952227,1.7338535145957022E-10
0,0.12573149473059825,1.989439731534108E-10
0,0.12689335933167423,2.3026565009305237E-10
0,0.12805522393275018,2.673503822784949E-10
0,0.12921708853382613,3.1019816970973844E-10
0,0.1303789531349021,3.5880901238678293E-10
0,0.13154081773597806,4.1318291030962844E-10
0,0.13270268233705404,4.733198634782748E-10
0,0.13386454693813,5.392198718927223E-10
0,0.13485368255284955,6.016857719365964E-10
0,0.1358428181675691,6.772654481713635E-10
0,0.13683195378228868,7.659589005970236E-10
0,0.1378210893970082,8.677661292135765E-10
0,0.1388102250117278,9.826871340210224E-10
0,0.13979936062644735,1.1107219150193612E-9
0,0.1407884962411669,1.251870472208593E-9
0,0.14177763185588646,1.4061328055887179E-9
0,0.14276676747060602,1.5735089151597355E-9
0,0.14358937578796904,1.7269512900284164E-9
0,0.14441198410533207,1.9040269439192873E-9
0,0.14523459242269512,2.104735876832349E-9
0,0.14605720074005815,2.3290780887676E-9
0,0.14687980905742118,2.577053579725042E-9
0,0.14770241737478423,2.8486623497046737E-9
0,0.14852502569214723,3.143904398706496E-9
0,0.1493476340095103,3.4627797267305084E-9
0,0.15017024232687332,3.805288333776711E-9
0,0.15090024050640902,4.136823665769477E-9
0,0.15163023868594472,4.511263127913142E-9
0,0.15236023686548045,4.928606720207703E-9
0,0.15309023504501612,5.388854442653163E-9
0,0.15382023322455182,5.89200629524952E-9
0,0.15455023140408752,6.438062277996774E-9
