% Model,mush.mph
% Version,COMSOL 5.5.0.292
% Date,"Oct 14 2022, 07:25"
% Dimension,2
% Nodes,5022
% Expressions,1
% Description,Line
% r,z,Color
0,0.3268042676022683,0.3735052438357621
0,0.3274662874040445,0.39046255715898925
0,0.32812830720582065,0.40714435098726226
0,0.32879032700759686,0.4235506253205812
0,0.329452346809373,0.43968138015894614
0,0.33011436661114923,0.45553661550235697
0,0.3307763864129254,0.47111633135081377
0,0.3314384062147016,0.4864205277043165
0,0.33210042601647777,0.5007737798109302
0,0.332762445818254,0.51389592089585
0,0.3334244656200302,0.5257869509590758
0,0.33408648542180636,0.5364468700006076
0,0.3347485052235825,0.5458756780204453
0,0.33541052502535873,0.5540733750185891
0,0.3360725448271349,0.5610399609950388
0,0.3367345646289111,0.5667754359497946
0,0.33739658443068726,0.5712797998828564
0,0.3380586042324634,0.5741459250094566
0,0.33872062403423964,0.5755520032507796
0,0.33938264383601585,0.5754980346068254
0,0.34004466363779196,0.5739840190775939
0,0.3407066834395682,0.5710099566630851
0,0.3413687032413444,0.5665758473632991
0,0.34203072304312054,0.5606816911782357
0,0.3426927428448967,0.5533274881078953
0,0.3433547626466729,0.5445132381522776
0,0.3440167824484491,0.5343106043908858
0,0.3446788022502253,0.5232485296317623
0,0.34534082205200145,0.5113270138749072
0,0.34600284185377767,0.49854605712032046
0,0.3466648616555538,0.484905659368002
0,0.34732688145733004,0.47040582061795194
0,0.3479889012591062,0.4550465408701702
0,0.3486509210608824,0.43882782012465693
0,0.34931294086265857,0.42174965838141193
0,0.34997496066443473,0.40440455798813807
0,0.35063698046621095,0.3871930107205091
0,0.35129900026798716,0.3701150165785249
0,0.35196102006976326,0.35317057556218556
0,0.35262303987153953,0.33635968767149105
0,0.3532850596733157,0.31968235290644137
0,0.35394707947509185,0.3031385712670365
0,0.354609099276868,0.28672834275327663
0,0.3552711190786442,0.27045166736516146
0,0.3559331388804204,0.2548388851890765
0,0.3565951586821966,0.2398233013512418
0,0.3572571784839728,0.2254049158516573
0,0.357919198285749,0.21158372869032305
0,0.35858121808752513,0.19835973986723898
0,0.35924323788930135,0.18573294938240514
0,0.3599052576910775,0.17370335723582153
0,0.3605672774928537,0.16227096342748817
0,0.3612292972946299,0.151435767957405
0,0.3618913246229742,0.14126113590957542
0,0.36255335195131855,0.1316072618792369
0,0.36321537927966285,0.12247414586638952
0,0.36387740660800716,0.1138617878710332
0,0.36453943393635146,0.10577018789316796
0,0.3652014612646958,0.09819934593279381
0,0.3658634885930402,0.09114926198991073
0,0.3665255159213845,0.08461993606451879
0,0.3671875432497288,0.07861136815661789
0,0.3678551245520405,0.07294366092660191
0,0.3685227058543522,0.06759697917188075
0,0.3691902871566639,0.06257132289245436
0,0.36985786845897556,0.05786669208832274
0,0.37052544976128726,0.05348308675948591
0,0.3711930310635989,0.04942050690594387
0,0.3718606123659106,0.04567895252769661
0,0.3725281936682223,0.042258423624744156
0,0.373195774970534,0.039158920197086465
0,0.3738737851832387,0.036224054392009195
0,0.3745517953959434,0.03346295049233323
0,0.37522980560864816,0.030875608498058562
0,0.37590781582135285,0.02846202840918519
0,0.3765858260340576,0.02622221022571312
0,0.3772638362467623,0.024156153947642357
0,0.37794184645946705,0.02226385957497288
0,0.3786198566721717,0.02054532710770472
0,0.37929786688487643,0.019000556545837845
0,0.3799781411359052,0.01755713336955463
0,0.3806584153869342,0.016200847250135094
0,0.381338689637963,0.014931698187579237
0,0.3820189638889919,0.013749686181887058
0,0.3826992381400207,0.012654811233058559
0,0.3833795123910496,0.011647073341093737
0,0.38405978664207846,0.010726472505992594
0,0.3847400608931073,0.009893008727755136
0,0.3854203351441362,0.00914668200638135
0,0.3860902816129859,0.008460443767983362
0,0.38676022808183563,0.007815073894371614
0,0.3874301745506854,0.007210572385546094
0,0.3881001210195351,0.006646939241506811
0,0.38877006748838483,0.006124174462253762
0,0.38944001395723454,0.005642278047786946
0,0.3901099604260843,0.005201249998106365
